S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25°C),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),TDS (mg/L),WQI,Hardness_Category,Unsafe_pH,Unsafe_EC,Unsafe_CO3,Unsafe_HCO3,Unsafe_Cl,Unsafe_F,Unsafe_SO4,Unsafe_NO3,Unsafe_Overall,Water_Safety,Water_Safety_Label
5995,Rajasthan,Barmer,Lakhaniyon Ki Dhani,71.413,25.4659,2023,7.59,6330.0,0.0,183.0,1843.0,0.1,325.0,95.0,720.0,144.0,88.0,1120.0,12.0,4051.2000000000003,263.63,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
5996,Rajasthan,Barmer,"Mandal Eido Ki Dhani, Derasar",71.1422,25.8118,2023,7.85,2340.0,0.0,640.0,295.0,1.5,152.0,82.0,300.0,59.0,37.0,392.0,17.0,1497.6000000000001,110.41666666666667,Very Hard,False,True,False,True,True,False,False,True,True,Unsafe,1
5997,Rajasthan,Barmer,"Meethano Ki Basti, Derasar",71.1515,25.7922,2023,7.61,3465.0,0.0,354.0,518.0,0.72,301.0,492.0,860.0,84.0,158.0,398.0,7.0,2217.6,300.75333333333333,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
5998,Rajasthan,Barmer,"Phed Campus, Darziyon Ki Dhani,",71.4033,25.4632,2023,7.77,5960.0,0.0,183.0,1701.0,0.22,359.0,70.0,740.0,112.0,112.0,1030.0,1.0,3814.4,269.12333333333333,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
5999,Rajasthan,Barmer,"Photaniyon Ki Dhani, Bisalo Ki Basti,",71.1454,25.8184,2023,7.94,1730.0,0.0,536.0,173.0,0.64,156.0,20.0,120.0,16.0,19.0,337.0,11.0,1107.2,48.413333333333334,Moderately Hard,False,True,False,True,False,False,False,False,True,Unsafe,1
6000,Rajasthan,Barmer,Sanawara,71.4,25.48,2023,7.75,7460.0,0.0,232.0,1762.0,1.12,912.0,120.0,880.0,104.0,151.0,1305.0,11.0,4774.400000000001,320.78333333333336,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6001,Rajasthan,Barmer,Sansiyan Ka Tala,71.4125,25.7042,2023,7.96,5650.0,0.0,188.0,1162.0,1.39,872.0,145.0,600.0,64.0,107.0,1014.0,18.0,3616.0,221.48666666666668,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6002,Rajasthan,Barmer,Sanwlor,71.2333,25.5858,2023,7.91,2430.0,0.0,155.0,539.0,0.51,250.0,80.0,310.0,56.0,41.0,410.0,13.0,1555.2,114.07,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6003,Rajasthan,Barmer,"Sanwlor Stone Crusher, Sanwlor",71.274,25.6089,2023,7.64,1720.0,0.0,256.0,255.0,1.01,206.0,86.0,290.0,56.0,36.0,260.0,4.0,1100.8,104.94666666666666,Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6004,Rajasthan,Barmer,"Vatika Kaushal Int , Gadan",71.3866,25.695,2023,7.52,2720.0,0.0,464.0,532.0,0.57,182.0,49.0,230.0,40.0,32.0,518.0,8.0,1740.8,88.24000000000001,Hard,False,True,False,False,True,False,False,True,True,Unsafe,1
6005,Rajasthan,Barmer,Chauhtan,71.075,25.475,2023,7.79,1770.0,0.0,268.0,234.0,0.52,132.0,244.0,440.0,80.0,58.0,189.0,30.0,1132.8,155.16333333333333,Very Hard,False,True,False,False,False,False,False,True,True,Unsafe,1
6006,Rajasthan,Barmer,Dhanau,71.1339,25.2343,2023,7.72,3140.0,0.0,207.0,730.0,2.47,309.0,54.0,220.0,52.0,22.0,586.0,63.0,2009.6000000000001,86.37333333333333,Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6007,Rajasthan,Barmer,Siyagatala,70.8653,25.3375,2023,7.76,6900.0,0.0,195.0,1702.0,1.57,664.0,238.0,280.0,60.0,32.0,1451.0,14.0,4416.0,118.92,Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6008,Rajasthan,Barmer,Chauhtan_Dw,71.075,25.475,2023,8.01,3286.0,0.0,366.0,759.0,0.88,280.0,80.0,190.0,52.0,15.0,705.0,6.0,2103.04,76.95666666666666,Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6009,Rajasthan,Barmer,Chohtan,71.067,25.475,2023,7.79,1770.0,0.0,268.0,234.0,0.52,132.0,244.0,440.0,80.0,58.0,189.0,30.0,1132.8,155.16333333333333,Very Hard,False,True,False,False,False,False,False,True,True,Unsafe,1
6010,Rajasthan,Barmer,Bheelon Ki Dhani,71.4698,25.2271,2023,8.03,7380.0,0.0,402.0,1432.0,1.06,1190.0,97.0,560.0,72.0,92.0,1433.0,13.0,4723.2,213.94333333333336,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6011,Rajasthan,Barmer,"Gaushala, Nerinadi",71.406,25.2229,2023,8.02,6670.0,0.0,451.0,1271.0,1.86,1092.0,99.0,600.0,64.0,107.0,1278.0,8.0,4268.8,224.90666666666667,Very Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6012,Rajasthan,Barmer,"Hari Om Hotel, Highway",71.4354,25.2343,2023,8.41,4470.0,12.0,159.0,936.0,1.3,653.0,125.0,280.0,44.0,41.0,895.0,11.0,2860.8,111.03666666666668,Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6013,Rajasthan,Barmer,Gadra Road,70.639,25.74,2023,8.04,2850.0,0.0,854.0,617.0,2.0,118.0,4.0,170.0,24.0,27.0,700.0,10.0,1824.0,68.84666666666666,Hard,False,True,False,True,True,True,False,False,True,Unsafe,1
6014,Rajasthan,Barmer,Panchla,70.167,25.992,2023,7.51,13500.0,0.0,232.0,4467.0,1.7,470.0,9.0,1080.0,72.0,219.0,2700.0,34.0,8640.0,407.50333333333333,Very Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
6015,Rajasthan,Barmer,Gudamalani,71.6988,25.214,2023,7.9,9195.0,0.0,293.0,1758.0,1.82,1612.0,239.0,880.0,112.0,146.0,1707.0,6.0,5884.8,326.6166666666667,Very Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6016,Rajasthan,Barmer,"Rathoro Ki Dhani, Gudamalani",71.7031,25.2121,2023,8.11,4085.0,0.0,634.0,723.0,5.74,468.0,0.0,360.0,60.0,51.0,774.0,3.0,2614.4,136.32,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6017,Rajasthan,Barmer,Doli,72.667,26.067,2023,8.04,4650.0,0.0,647.0,312.0,5.4,1450.0,31.0,380.0,44.0,66.0,990.0,3.0,2976.0,144.84666666666666,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6018,Rajasthan,Barmer,Thob,72.358,26.05,2023,7.23,15530.0,0.0,354.0,5034.0,2.8,450.0,140.0,1520.0,304.0,185.0,2950.0,39.0,9939.2,560.8433333333334,Very Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6019,Rajasthan,Barmer,Thoombli,72.489,26.204,2023,8.03,3920.0,0.0,220.0,688.0,2.45,691.0,99.0,240.0,32.0,39.0,789.0,4.0,2508.8,95.74333333333334,Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6020,Rajasthan,Barmer,Derasar,71.163,25.776,2023,7.84,594.0,0.0,171.0,57.0,0.44,56.0,18.0,175.0,32.0,23.0,45.0,19.0,380.16,62.92666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6021,Rajasthan,Barmer,Ramsar,70.8719,25.7303,2023,8.88,20620.0,120.0,464.0,3827.0,10.0,4080.0,54.0,700.0,100.0,109.0,4416.0,46.0,13196.800000000001,305.02666666666664,Very Hard,True,True,False,False,True,True,True,True,True,Unsafe,1
6022,Rajasthan,Barmer,Tarla,71.217,24.836,2023,7.83,1450.0,0.0,281.0,177.0,0.85,130.0,200.0,110.0,32.0,7.0,250.0,103.0,928.0,44.10999999999999,Moderately Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
6023,Rajasthan,Barmer,Bisukalan,71.278,26.241,2023,7.85,9250.0,0.0,220.0,2871.0,2.7,515.0,3.0,920.0,136.0,141.0,1760.0,25.0,5920.0,340.1166666666667,Very Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
6024,Rajasthan,Barmer,Gujro Ka Bera,71.556,26.338,2023,7.92,3200.0,0.0,427.0,666.0,2.05,283.0,70.0,330.0,40.0,56.0,600.0,11.0,2048.0,123.30666666666667,Very Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6025,Rajasthan,Barmer,Loonakalan,71.9829,25.4481,2023,8.92,14700.0,120.0,256.0,3828.0,1.91,1364.0,86.0,500.0,80.0,73.0,3150.0,9.0,9408.0,218.64,Very Hard,True,True,False,False,True,True,True,True,True,Unsafe,1
6026,Rajasthan,Barmer,Arniyali,71.968,25.467,2023,7.92,14120.0,0.0,586.0,3934.0,1.2,954.0,41.0,1050.0,160.0,158.0,2772.0,10.0,9036.800000000001,399.70666666666665,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6027,Rajasthan,Barmer,Bhoginji Ka Meetha,72.1242,25.5269,2023,8.17,4640.0,0.0,403.0,865.0,1.55,644.0,115.0,280.0,64.0,29.0,936.0,4.0,2969.6,111.52333333333333,Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6028,Rajasthan,Barmer,Bhoginji Ka Meetha,72.1158,25.5131,2023,7.91,6050.0,0.0,500.0,1418.0,1.45,508.0,101.0,420.0,96.0,44.0,1198.0,4.0,3872.0,162.8033333333333,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6029,Rajasthan,Barmer,Dhanwa,72.1199,25.5475,2023,7.73,7645.0,0.0,671.0,1956.0,1.38,446.0,56.0,400.0,88.0,44.0,1575.0,7.0,4892.8,161.39333333333335,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6030,Rajasthan,Barmer,Bhoginji Ka Meetha,72.1257,25.5149,2023,7.91,6050.0,0.0,500.0,1418.0,1.45,508.0,101.0,420.0,96.0,44.0,1198.0,4.0,3872.0,162.8033333333333,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6031,Rajasthan,Barmer,Khara Mahecha,72.0265,25.5103,2023,7.94,13280.0,0.0,1024.0,3580.0,0.98,690.0,35.0,950.0,180.0,122.0,2622.0,10.0,8499.2,363.58,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6032,Rajasthan,Barmer,Samdari(Hs),72.5869,25.8182,2023,6.91,14300.0,0.0,415.0,4850.0,1.55,502.0,20.0,2000.0,416.0,233.0,2650.0,12.0,9152.0,716.6366666666667,Very Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
6033,Rajasthan,Barmer,Samdari(Hs-1),72.58,25.8341,2023,7.8,3480.0,0.0,220.0,893.0,0.8,260.0,33.0,540.0,124.0,56.0,550.0,10.0,2227.2000000000003,194.20000000000002,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6034,Rajasthan,Barmer,Samdari(Hs-3),72.5972,25.8251,2023,7.61,4700.0,0.0,390.0,1219.0,1.1,490.0,26.0,820.0,104.0,136.0,802.0,10.0,3008.0,291.5366666666667,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6035,Rajasthan,Barmer,Samdari(Hs-4),72.5757,25.8489,2023,7.69,6120.0,0.0,708.0,1160.0,2.3,950.0,32.0,300.0,32.0,54.0,1350.0,12.0,3916.8,122.96333333333332,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6036,Rajasthan,Barmer,Samdari9(Hs-2),72.5925,25.8236,2023,7.76,3840.0,0.0,232.0,1078.0,0.89,102.0,26.0,580.0,68.0,100.0,580.0,10.0,2457.6,208.72,Very Hard,False,True,False,False,True,False,False,False,True,Unsafe,1
6037,Rajasthan,Bharatpur,Bhagori_Dw,77.251,26.972,2023,7.45,780.0,0.0,171.0,106.0,1.42,84.0,11.0,260.0,28.0,46.0,58.0,4.0,499.2,91.75,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6038,Rajasthan,Bharatpur,Kheria Mod,77.383,26.95,2023,8.33,1520.0,0.0,390.0,85.0,2.37,297.0,5.0,90.0,24.0,7.0,308.0,2.0,972.8000000000001,37.843333333333334,Moderately Hard,False,True,False,False,False,True,True,False,True,Unsafe,1
6039,Rajasthan,Bharatpur,Deeg1,77.333,27.467,2023,7.5,720.0,0.0,244.0,92.0,1.65,24.0,4.0,185.0,36.0,23.0,76.0,10.0,460.8,66.56666666666666,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
6040,Rajasthan,Bharatpur,Mandhera,77.353,27.395,2023,7.48,4000.0,0.0,537.0,851.0,2.05,218.0,156.0,1540.0,360.0,155.0,206.0,11.0,2560.0,529.16,Very Hard,False,True,False,True,True,True,True,True,True,Unsafe,1
6041,Rajasthan,Bharatpur,Kaman,77.2697,27.6572,2023,7.52,7300.0,0.0,561.0,1172.0,1.83,1456.0,20.0,1240.0,200.0,180.0,1002.0,200.0,4672.0,440.17333333333335,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6042,Rajasthan,Bharatpur,Nadbai,77.213,27.208,2023,7.78,2380.0,0.0,781.0,234.0,1.57,174.0,43.0,250.0,40.0,36.0,433.0,2.0,1523.2,93.86,Hard,False,True,False,True,False,True,False,False,True,Unsafe,1
6043,Rajasthan,Bharatpur,Gopalgarh,77.0633,27.6547,2023,7.77,9420.0,0.0,671.0,2179.0,0.16,1038.0,9.0,960.0,108.0,168.0,1738.0,7.0,6028.8,353.99,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6044,Rajasthan,Bharatpur,Nagar,77.1,27.417,2023,8.23,5600.0,0.0,1135.0,652.0,2.5,883.0,37.0,280.0,40.0,44.0,1153.0,12.0,3584.0,114.74333333333334,Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6045,Rajasthan,Bharatpur,Gopalgarh,77.05,27.65,2023,8.14,4600.0,0.0,964.0,797.0,0.56,355.0,27.0,260.0,32.0,44.0,938.0,10.0,2944.0,104.71333333333332,Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6046,Rajasthan,Bharatpur,Pahari,77.083,27.7,2023,8.04,6490.0,0.0,915.0,1064.0,0.82,940.0,20.0,260.0,40.0,39.0,1380.0,2.0,4153.6,110.98,Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6047,Rajasthan,Bharatpur,Roopwas,77.5908,26.9936,2023,7.7,2660.0,0.0,598.0,304.0,0.97,291.0,129.0,270.0,52.0,34.0,258.0,392.0,1702.4,101.43333333333334,Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6048,Rajasthan,Bharatpur,Dahinagaon,77.492,26.996,2023,7.52,1880.0,0.0,293.0,284.0,0.31,192.0,120.0,500.0,64.0,83.0,182.0,36.0,1203.2,175.44000000000003,Very Hard,False,True,False,False,True,False,False,True,True,Unsafe,1
6049,Rajasthan,Bharatpur,Khanua,77.55,27.033,2023,7.08,3015.0,0.0,256.0,637.0,0.01,327.0,72.0,670.0,116.0,92.0,381.0,10.0,1929.6000000000001,235.74333333333334,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6050,Rajasthan,Bharatpur,Chiksana,77.6667,27.1833,2023,7.77,3150.0,0.0,464.0,645.0,0.38,270.0,1.0,530.0,104.0,66.0,476.0,9.0,2016.0,189.75666666666666,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6051,Rajasthan,Bharatpur,Ludhawai_Gwd,77.395,27.175,2023,7.78,5400.0,0.0,686.0,1276.0,0.58,307.0,26.0,960.0,136.0,151.0,803.0,1.0,3456.0,340.5933333333333,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6052,Rajasthan,Bharatpur,Sewar,77.4403,27.1822,2023,7.68,6030.0,0.0,537.0,1418.0,0.23,514.0,46.0,1220.0,160.0,199.0,832.0,5.0,3859.2000000000003,429.32666666666665,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6053,Rajasthan,Bharatpur,Weir,77.1773,27.0126,2023,8.17,1690.0,0.0,610.0,134.0,1.43,128.0,29.0,330.0,32.0,61.0,241.0,1.0,1081.6,118.35666666666667,Very Hard,False,True,False,True,False,False,False,False,True,Unsafe,1
6054,Rajasthan,Bhilwara,Asind,74.3347,25.7328,2023,7.95,5460.0,0.0,939.0,801.0,3.72,764.0,26.0,800.0,80.0,146.0,879.0,15.0,3494.4,287.51666666666665,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6055,Rajasthan,Bhilwara,Badnor,74.283,25.833,2023,7.49,2050.0,0.0,439.0,304.0,0.5,204.0,27.0,430.0,80.0,56.0,245.0,50.0,1312.0,152.66333333333333,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6056,Rajasthan,Bhilwara,Daulatgarh,74.32,25.633,2023,7.27,4470.0,0.0,573.0,992.0,0.14,286.0,82.0,1040.0,160.0,156.0,547.0,6.0,2860.8,363.99,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6057,Rajasthan,Bhilwara,Jeewaliya,74.508,25.544,2023,7.36,3540.0,0.0,610.0,624.0,2.05,336.0,40.0,410.0,32.0,80.0,621.0,9.0,2265.6,150.92,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6058,Rajasthan,Bhilwara,Tiloli,74.313,25.598,2023,7.45,1780.0,0.0,525.0,148.0,0.54,208.0,46.0,430.0,68.0,63.0,200.0,26.0,1139.2,151.75,Very Hard,False,True,False,True,False,False,True,True,True,Unsafe,1
6059,Rajasthan,Bhilwara,Baneramataji,74.665,25.488,2023,7.39,1000.0,0.0,451.0,50.0,0.55,36.0,26.0,380.0,76.0,46.0,29.0,46.0,640.0,132.46333333333334,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6060,Rajasthan,Bhilwara,Raila Road,74.6,25.633,2023,8.08,3790.0,0.0,610.0,539.0,2.28,342.0,337.0,520.0,48.0,97.0,632.0,3.0,2425.6,188.66,Very Hard,False,True,False,True,True,True,True,True,True,Unsafe,1
6061,Rajasthan,Bhilwara,Mangtala,75.2975,25.3475,2023,8.19,4590.0,0.0,1061.0,411.0,0.45,683.0,165.0,460.0,72.0,68.0,846.0,0.0,2937.6,171.36333333333334,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6062,Rajasthan,Bhilwara,Rampuriya_Pz,75.3288,25.2935,2023,7.85,7000.0,0.0,866.0,1098.0,0.83,1123.0,76.0,1250.0,260.0,146.0,1035.0,2.0,4480.0,442.6166666666666,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6063,Rajasthan,Bhilwara,Salawatia,75.261,25.114,2023,6.95,390.0,0.0,67.0,35.0,0.38,62.0,29.0,160.0,24.0,24.0,15.0,4.0,249.6,56.949999999999996,Hard,False,False,False,False,False,False,False,False,False,Safe,0
6064,Rajasthan,Bhilwara,Gulabpura,74.67,25.9,2023,7.66,9380.0,0.0,781.0,2446.0,0.24,540.0,44.0,1350.0,220.0,195.0,1486.0,87.0,6003.2,483.82,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6065,Rajasthan,Bhilwara,Hurda,74.6881,25.9023,2023,7.94,1800.0,0.0,220.0,364.0,0.7,195.0,2.0,360.0,32.0,68.0,248.0,4.0,1152.0,128.64666666666668,Very Hard,False,True,False,False,True,False,False,False,True,Unsafe,1
6066,Rajasthan,Bhilwara,Borani,75.333,25.683,2023,7.52,4050.0,0.0,622.0,439.0,0.63,745.0,145.0,1000.0,128.0,165.0,469.0,5.0,2592.0,349.34,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6067,Rajasthan,Bhilwara,Bhagwanpura,75.055,25.469,2023,7.48,1140.0,0.0,500.0,64.0,0.57,17.0,62.0,370.0,88.0,36.0,84.0,16.0,729.6,129.62666666666667,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
6068,Rajasthan,Bhilwara,Kotari,74.892,25.397,2023,7.18,7520.0,0.0,769.0,1276.0,0.28,586.0,891.0,1680.0,272.0,243.0,921.0,69.0,4812.8,587.46,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
6069,Rajasthan,Bhilwara,Paroli,75.092,25.518,2023,7.7,740.0,0.0,134.0,92.0,0.74,122.0,1.0,240.0,48.0,29.0,60.0,2.0,473.6,85.03333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
6070,Rajasthan,Bhilwara,Sawaipur,74.867,25.307,2023,7.28,2080.0,0.0,290.0,227.0,0.43,388.0,92.0,640.0,132.0,75.0,180.0,7.0,1331.2,222.69333333333336,Very Hard,False,True,False,False,False,False,True,True,True,Unsafe,1
6071,Rajasthan,Bhilwara,Bhagwanpura,74.4424,25.5263,2023,7.68,1600.0,0.0,561.0,156.0,1.7,100.0,11.0,340.0,40.0,58.0,208.0,7.0,1024.0,121.22666666666667,Very Hard,False,True,False,True,False,True,False,False,True,Unsafe,1
6072,Rajasthan,Bhilwara,Dahimatha,74.301,25.528,2023,7.35,5870.0,0.0,439.0,1375.0,0.93,576.0,39.0,1000.0,136.0,161.0,883.0,13.0,3756.8,355.34999999999997,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6073,Rajasthan,Bhilwara,Malas,74.3294,25.5242,2023,7.47,2635.0,0.0,610.0,397.0,0.81,194.0,64.0,690.0,104.0,105.0,282.0,13.0,1686.4,241.27333333333334,Very Hard,False,True,False,True,True,False,False,True,True,Unsafe,1
6074,Rajasthan,Bhilwara,Mandal,74.5693,25.4533,2023,7.74,3110.0,0.0,598.0,603.0,4.06,142.0,69.0,320.0,24.0,63.0,565.0,7.0,1990.4,119.61333333333334,Very Hard,False,True,False,True,True,True,False,True,True,Unsafe,1
6075,Rajasthan,Bhilwara,Bigod,75.03,25.244,2023,7.48,730.0,0.0,244.0,71.0,0.04,41.0,27.0,270.0,28.0,49.0,44.0,2.0,467.2,94.92666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6076,Rajasthan,Bhilwara,Mandalgarh1,75.094,25.183,2023,7.53,6590.0,0.0,744.0,1134.0,0.49,1008.0,40.0,780.0,96.0,131.0,1148.0,18.0,4217.6,284.4766666666667,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6077,Rajasthan,Bhilwara,Gangapur1,74.26,25.217,2023,7.55,1620.0,0.0,317.0,206.0,1.3,116.0,167.0,310.0,52.0,44.0,228.0,7.0,1036.8,111.25,Very Hard,False,True,False,False,False,False,False,True,True,Unsafe,1
6078,Rajasthan,Bhilwara,Bhojpur_Pz,74.8571,25.45,2023,7.81,1775.0,0.0,403.0,297.0,0.06,120.0,16.0,440.0,36.0,85.0,195.0,19.0,1136.0,155.18666666666667,Very Hard,False,True,False,False,True,False,False,False,True,Unsafe,1
6079,Rajasthan,Bhilwara,Kanchan-Kala,74.906,25.756,2023,7.92,480.0,0.0,61.0,78.0,0.02,74.0,1.0,170.0,32.0,22.0,31.0,4.0,307.2,60.906666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
6080,Rajasthan,Bikaner,Barala,73.3101,28.3254,2023,7.34,14100.0,0.0,244.0,4538.0,1.32,1020.0,13.0,1500.0,100.0,304.0,2836.0,18.0,9024.0,549.4466666666666,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
6081,Rajasthan,Bikaner,Deshnokh,73.35,27.8,2023,7.39,3040.0,0.0,293.0,808.0,0.15,210.0,70.0,650.0,144.0,71.0,458.0,10.0,1945.6000000000001,229.26333333333332,Very Hard,False,True,False,False,True,False,True,True,True,Unsafe,1
6082,Rajasthan,Bikaner,Jalwali,73.2,28.2398,2023,7.29,922.0,0.0,195.0,78.0,0.7,260.0,9.0,450.0,92.0,54.0,45.0,5.0,590.08,155.50333333333333,Very Hard,False,False,False,False,False,False,True,False,True,Unsafe,1
6083,Rajasthan,Bikaner,Kelan,73.2522,28.4686,2023,7.28,9960.0,0.0,207.0,3620.0,0.4,40.0,30.0,1600.0,268.0,226.0,1717.0,16.0,6374.400000000001,568.96,Very Hard,False,True,False,False,True,False,False,False,True,Unsafe,1
6084,Rajasthan,Bikaner,Lakhusar,73.192,28.317,2023,7.57,9300.0,0.0,342.0,2836.0,3.2,325.0,150.0,800.0,184.0,83.0,1812.0,12.0,5952.0,300.19,Very Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6085,Rajasthan,Bikaner,Chhatargarh,73.133,28.667,2023,7.29,990.0,0.0,207.0,163.0,0.23,65.0,36.0,290.0,28.0,54.0,67.0,51.0,633.6,102.39666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
6086,Rajasthan,Bikaner,Khajuwala,72.5914,28.6931,2023,7.11,358.0,0.0,134.0,64.0,0.41,5.0,4.0,140.0,36.0,12.0,30.0,6.0,229.12,50.23,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
6087,Rajasthan,Bikaner,Sattasar,73.192,28.592,2023,7.46,624.0,0.0,268.0,64.0,0.1,210.0,20.0,380.0,72.0,49.0,71.0,12.0,399.36,131.23333333333332,Very Hard,False,False,False,False,False,False,True,False,True,Unsafe,1
6088,Rajasthan,Bikaner,Chak Mulajman,72.8977,27.8393,2023,7.71,4610.0,0.0,842.0,957.0,1.15,225.0,42.0,330.0,92.0,24.0,903.0,15.0,2950.4,127.93666666666667,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
6089,Rajasthan,Bikaner,Godu,72.297,27.992,2023,7.49,1320.0,0.0,220.0,361.0,1.2,10.0,20.0,320.0,72.0,34.0,184.0,5.0,844.8000000000001,113.56333333333333,Very Hard,False,False,False,False,True,False,False,False,True,Unsafe,1
6090,Rajasthan,Bikaner,Jhanjhu,72.9826,27.8149,2023,7.65,3120.0,0.0,415.0,730.0,1.2,180.0,3.0,360.0,80.0,39.0,550.0,4.0,1996.8,132.95000000000002,Very Hard,False,True,False,False,True,False,False,False,True,Unsafe,1
6091,Rajasthan,Bikaner,Kolayat,72.954,27.842,2023,7.86,2910.0,0.0,610.0,461.0,1.95,265.0,17.0,400.0,72.0,54.0,479.0,7.0,1862.4,145.65333333333334,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
6092,Rajasthan,Bikaner,Ranjitpura,72.125,28.026,2023,7.7,5420.0,0.0,366.0,993.0,3.2,1200.0,21.0,120.0,32.0,10.0,1314.0,5.0,3468.8,60.63333333333333,Moderately Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
6093,Rajasthan,Bikaner,1Lkd,73.855,28.6031,2023,7.83,2650.0,0.0,171.0,596.0,3.9,280.0,70.0,280.0,44.0,41.0,485.0,1.0,1696.0,104.77666666666666,Hard,False,True,False,False,True,True,True,True,True,Unsafe,1
6094,Rajasthan,Bikaner,264Rd,73.7738,28.5619,2023,7.38,1680.0,0.0,244.0,248.0,5.25,202.0,110.0,360.0,64.0,49.0,233.0,2.0,1075.2,128.06,Very Hard,False,True,False,False,False,True,True,True,True,Unsafe,1
6095,Rajasthan,Bikaner,Arjansar,73.883,28.933,2023,7.91,2450.0,0.0,732.0,284.0,15.0,160.0,20.0,150.0,16.0,27.0,495.0,2.0,1568.0,60.803333333333335,Hard,False,True,False,True,True,True,False,False,True,Unsafe,1
6096,Rajasthan,Bikaner,Baderan,73.764,28.701,2023,7.72,1620.0,0.0,695.0,121.0,0.65,55.0,37.0,280.0,52.0,36.0,151.0,174.0,1036.8,101.30666666666667,Hard,False,True,False,True,False,False,False,False,True,Unsafe,1
